Driver,LapNumber,LapTime,TyreLife,Compound,PitOutTime
SAR,6.0,0 days 00:01:38.379000,6.0,SOFT,
SAR,7.0,0 days 00:01:33.965000,7.0,SOFT,
SAR,8.0,0 days 00:01:29.878000,8.0,SOFT,
SAR,9.0,0 days 00:01:24.260000,9.0,SOFT,
SAR,10.0,0 days 00:01:21.081000,10.0,SOFT,
SAR,11.0,0 days 00:01:19.797000,11.0,SOFT,
SAR,12.0,0 days 00:01:18.688000,12.0,SOFT,
SAR,13.0,0 days 00:01:17.399000,13.0,SOFT,
SAR,14.0,0 days 00:01:17.824000,14.0,SOFT,
SAR,15.0,,15.0,SOFT,
MAG,1.0,0 days 00:01:51.944000,1.0,SOFT,0 days 01:02:17.710000
MAG,2.0,0 days 00:01:58.312000,1.0,INTERMEDIATE,0 days 01:04:27.036000
MAG,3.0,0 days 00:01:28.198000,2.0,INTERMEDIATE,
MAG,4.0,0 days 00:01:27.297000,3.0,INTERMEDIATE,
MAG,5.0,0 days 00:01:24.267000,4.0,INTERMEDIATE,
MAG,6.0,0 days 00:01:25.666000,5.0,INTERMEDIATE,
MAG,7.0,0 days 00:01:26.119000,6.0,INTERMEDIATE,
